카테고리,id,등급,상품명_한글,원어명,생산자_원어,분류,용량,현지가_원화,기준가_원화,할인율,판정근거,매칭된_와인명,일치율,국내가_최저,국내가_중앙,국내가_최신등록일,해외_원통화,해외_원가격,게시연도,신뢰도,상태,미변환여부,샴드뱅링크,빈티지,빈티지검증
미국,105,D,더 ヴァイス 카베르네 소비뇽 오크 놀 디스트릭트 2019,The ヴァイス Cabernet Sauvignon Oak Knoll District 2019,ヴァイス,,750ml,72270,,,없음,,,,,,,,2025,높음,,True,https://charme-du-vin.com/2025/06/39821/,2019,
미국,106,D,트웬티 로우스 리저브 카베르네 소비뇽 나파 2022,Twenty Rows Reserve Cabernet Sauvignon Napa 2022,トゥエンティロウズ,,750ml,34650,,,없음,,,,,,,,2025,높음,,True,https://charme-du-vin.com/2025/06/39707/,2022,
미국,107,D,뫼르소 샤름 22 2000,Meursault Charmes 22 2000,ムルソー,,750ml,495000,,,없음,,,,,,,,2025,높음,,True,https://charme-du-vin.com/2025/06/39665/,2000,
미국,108,D,フレヤ ヘルマン 퀴베 샤르도네 22 오리건 2000,フレヤ ヘルマン Cuvée Chardonnay 22 Oregon 2000,フレヤ,,750ml,386100,,,없음,,,,,,,,2025,높음,,True,https://charme-du-vin.com/2025/06/39662/,2000,
미국,109,D,リチャード ヘルマン 퀴베 샤르도네 22 오리건 2000,リチャード ヘルマン Cuvée Chardonnay 22 Oregon 2000,リチャード,,750ml,356400,,,없음,,,,,,,,2025,높음,,True,https://charme-du-vin.com/2025/06/39662/,2000,
미국,111,D,서브미션 피노 누아 2021,Submission Pinot Noir 2021,サブミッション,,750ml,20790,,,없음,,,,,,,,2025,높음,,True,https://charme-du-vin.com/2025/06/39555/,2021,
미국,119,D,카디날레 나파 카베르네 소비뇽 2018,Cardinale Napa Cabernet Sauvignon 2018,カーディナル,,750ml,287100,,,없음,,,,,,,,2025,높음,,True,https://charme-du-vin.com/2025/05/39382/,2018,
미국,120,D,イオス 카베르네 소비뇽 2023,イオス Cabernet Sauvignon 2023,イオス,,750ml,14355,,,없음,,,,,,,,2025,높음,,True,https://charme-du-vin.com/2025/05/39274/,2023,
미국,122,D,와이 바이 요시키 오크빌 카베르네 소비뇽 2018,Y by Yoshiki Oakville Cabernet Sauvignon 2018,Y,,750ml,326700,,,없음,,,,,,,,2025,높음,,False,https://charme-du-vin.com/2025/05/39233/,2018,
미국,123,D,エレメンタル 피노 누아 2022,エレメンタル Pinot Noir 2022,エレメンタル,,750ml,30690,,,없음,,,,,,,,2025,높음,,True,https://charme-du-vin.com/2025/04/39077/,2022,
미국,124,D,エレメンタル 샤르도네 2022,エレメンタル Chardonnay 2022,エレメンタル,,750ml,30690,,,없음,,,,,,,,2025,높음,,True,https://charme-du-vin.com/2025/04/39077/,2022,
미국,126,D,오크 리지 アンセントヴァン 진판델,Oak Ridge アンセントヴァン Zinfandel,オークリッジ,,750ml,34650,,,없음,,,,,,,,2025,높음,,True,https://charme-du-vin.com/2025/04/38988/,표기없음,
미국,128,D,ナパグレン 카베르네 소비뇽 2022,ナパグレン Cabernet Sauvignon 2022,ナパグレン,,750ml,34650,,,없음,,,,,,,,2025,높음,,True,https://charme-du-vin.com/2025/03/38551/,2022,
미국,132,D,더블 제로 와인스 VGW 샤르도네 2022,Double Zero Wines VGW Chardonnay 2022,ダブルゼロワインズ,,750ml,138600,,,없음,,,,,,,,2025,높음,,True,https://charme-du-vin.com/2025/02/38049/,2022,
미국,133,D,더블 제로 와인스 EGW 샤르도네 2022,Double Zero Wines EGW Chardonnay 2022,ダブルゼロワインズ,,750ml,207900,,,없음,,,,,,,,2025,높음,,True,https://charme-du-vin.com/2025/02/38049/,2022,
미국,134,D,더블 제로 와인스 세븐 스프링스 샤르도네 2022,Double Zero Wines Seven Springs Chardonnay 2022,ダブルゼロワインズ,,750ml,227700,,,없음,,,,,,,,2025,높음,,True,https://charme-du-vin.com/2025/02/38049/,2022,
미국,136,D,アカイボ トリニテエステート 2016,アカイボ トリニテエステート 2016,アカイボ,,750ml,88110,,,없음,,,,,,,,2025,높음,,True,https://charme-du-vin.com/2025/01/37996/,2016,
미국,139,D,フォリジャー 피노 누아 소노마 코스트 2021,フォリジャー Pinot Noir Sonoma Coast 2021,フォリジャー,,750ml,37620,,,없음,,,,,,,,2025,높음,,True,https://charme-du-vin.com/2025/01/37843/,2021,
미국,142,D,더 ヴァイス 카베르네 소비뇽 오크 놀 2019,The ヴァイス Cabernet Sauvignon Oak Knoll 2019,ヴァイス,,750ml,75240,,,없음,,,,,,,,2025,높음,,True,https://charme-du-vin.com/2025/01/37837/,2019,
미국,143,D,레콜 NO41 퍼거슨 2019,L'Ecole NO41 Ferguson 2019,L'Ecole,,750ml,97020,,,없음,,,,,,,,2025,높음,,True,https://charme-du-vin.com/2025/01/37826/,2019,
